dt,AverageTemperature,AverageTemperatureUncertainty
1796-01-01,17.044,2.044
1796-02-01,19.193,1.359
1796-03-01,22.319,2.125
1796-04-01,27.233,1.51
1796-05-01,30.035,1.338
1796-06-01,29.261,2.953
1796-07-01,26.8,2.19
1796-08-01,26.558,2.866
1796-09-01,25.958,3.275
1796-10-01,24.031,1.352
1796-11-01,20.186,2.787
1796-12-01,15.485,3.734
1797-01-01,,
1797-02-01,,
1797-03-01,22.879,1.73
1797-04-01,26.502,2.614
1797-05-01,29.364,2.11
1797-06-01,29.88,1.936
1797-07-01,26.891,2.181
1797-08-01,26.716,2.072
1797-09-01,26.072,2.842
1797-10-01,23.67,1.945
1797-11-01,19.323,1.578
1797-12-01,17.102,2.448
1798-01-01,17.226,1.759
1798-02-01,19.525,1.675
1798-03-01,24.328,1.494
1798-04-01,,
1798-05-01,,
1798-06-01,29.369,1.93
1798-07-01,27.968,2.165
1798-08-01,27.009,3.968
1798-09-01,25.973,2.499
1798-10-01,23.898,2.061
1798-11-01,20.709,2.29
1798-12-01,16.728,1.864
1799-01-01,16.648,1.911
1799-02-01,17.976,2.203
1799-03-01,23.08,2.245
1799-04-01,27.996,2.938
1799-05-01,30.217,1.382
1799-06-01,29.86,2.316
1799-07-01,27.178,1.89
1799-08-01,26.674,1.217
1799-09-01,26.105,2.258
1799-10-01,24.597,1.747
1799-11-01,20.158,1.49
1799-12-01,16.904,1.4
1800-01-01,17.081,1.654
1800-02-01,19.78,3.301
1800-03-01,22.938,2.662
1800-04-01,28.458,1.502
1800-05-01,29.372,1.322
1800-06-01,29.261,1.317
1800-07-01,26.494,1.71
1800-08-01,26.069,2.065
1800-09-01,24.999,2.037
1800-10-01,24.318,2.107
1800-11-01,20.625,2.349
1800-12-01,17.548,1.508
1801-01-01,17.433,1.443
1801-02-01,18.868,1.143
1801-03-01,25.084,1.661
1801-04-01,,
1801-05-01,,
1801-06-01,28.652,1.765
1801-07-01,27.272,2.513
1801-08-01,26.075,1.727
1801-09-01,25.598,1.339
1801-10-01,24.001,1.444
1801-11-01,20.492,1.417
1801-12-01,18.276,3.032
1802-01-01,17.904,1.791
1802-02-01,19.734,1.528
1802-03-01,24.829,1.746
1802-04-01,27.816,1.788
1802-05-01,29.209,1.828
1802-06-01,30.397,1.5
1802-07-01,27.826,1.517
1802-08-01,26.581,1.435
1802-09-01,26.699,1.764
1802-10-01,24.564,2.885
1802-11-01,20.258,1.664
1802-12-01,16.795,1.692
1803-01-01,15.603,1.764
1803-02-01,18.271,2.605
1803-03-01,23.323,1.891
1803-04-01,28.265,1.49
1803-05-01,30.257,1.55
1803-06-01,29.643,1.28
1803-07-01,27.876,1.357
1803-08-01,27.79,1.718
1803-09-01,26.732,1.584
1803-10-01,24.319,2.32
1803-11-01,20.749,1.978
1803-12-01,16.921,2.338
1804-01-01,17.443,3.427
1804-02-01,19.11,1.675
1804-03-01,23.215,3.059
1804-04-01,29.131,1.522
1804-05-01,30.692,1.631
1804-06-01,29.952,1.333
1804-07-01,28.694,2.112
1804-08-01,26.788,1.61
1804-09-01,26.513,2.946
1804-10-01,24.164,1.665
1804-11-01,21.624,3.057
1804-12-01,16.583,3.206
1805-01-01,17.173,1.473
1805-02-01,19.036,2.067
1805-03-01,23.942,1.208
1805-04-01,27.034,1.792
1805-05-01,30.077,1.203
1805-06-01,29.959,2.191
1805-07-01,27.069,1.561
1805-08-01,27.213,1.155
1805-09-01,25.936,1.955
1805-10-01,22.831,1.885
1805-11-01,19.951,2.549
1805-12-01,18.085,1.227
1806-01-01,17.092,1.634
1806-02-01,19.019,2.233
1806-03-01,23.013,1.658
1806-04-01,27.359,2.577
1806-05-01,29.971,1.668
1806-06-01,28.054,1.609
1806-07-01,26.995,1.428
1806-08-01,26.888,1.634
1806-09-01,26.855,1.874
1806-10-01,23.754,1.25
1806-11-01,20.452,1.633
1806-12-01,17.662,1.89
1807-01-01,15.975,2.125
1807-02-01,18.799,2.83
1807-03-01,,
1807-04-01,,
1807-05-01,27.873,1.598
1807-06-01,29.541,1.336
1807-07-01,27.631,1.999
1807-08-01,26.447,1.805
1807-09-01,26.465,1.514
1807-10-01,23.586,1.163
1807-11-01,20.375,1.97
1807-12-01,18.304,1.492
1808-01-01,,
1808-02-01,,
1808-03-01,,
1808-04-01,,
1808-05-01,,
1808-06-01,,
1808-07-01,,
1808-08-01,,
1808-09-01,,
1808-10-01,,
1808-11-01,,
1808-12-01,,
1809-01-01,,
1809-02-01,,
1809-03-01,,
1809-04-01,,
1809-05-01,,
1809-06-01,,
1809-07-01,,
1809-08-01,,
1809-09-01,,
1809-10-01,,
1809-11-01,,
1809-12-01,,
1810-01-01,,
1810-02-01,,
1810-03-01,,
1810-04-01,,
1810-05-01,,
1810-06-01,,
1810-07-01,,
1810-08-01,,
1810-09-01,,
1810-10-01,,
1810-11-01,,
1810-12-01,,
1811-01-01,,
1811-02-01,,
1811-03-01,,
1811-04-01,,
1811-05-01,,
1811-06-01,,
1811-07-01,,
1811-08-01,,
1811-09-01,,
1811-10-01,,
1811-11-01,,
1811-12-01,,
1812-01-01,,
1812-02-01,,
1812-03-01,,
1812-04-01,,
1812-05-01,,
1812-06-01,,
1812-07-01,,
1812-08-01,,
1812-09-01,,
1812-10-01,,
1812-11-01,,
1812-12-01,,
1813-01-01,14.479,2.782
1813-02-01,18.549,1.304
1813-03-01,21.409,5.277
1813-04-01,27.898,1.256
1813-05-01,30.54,4.591
1813-06-01,28.332,2.197
1813-07-01,26.881,1.656
1813-08-01,25.304,1.193
1813-09-01,25.773,1.683
1813-10-01,23.198,1.232
1813-11-01,21.076,1.365
1813-12-01,15.816,1.602
1814-01-01,15.45,2.818
1814-02-01,18.596,1.16
1814-03-01,22.213,1.736
1814-04-01,26.526,1.315
1814-05-01,,
1814-06-01,28.93,1.638
1814-07-01,25.53,2.672
1814-08-01,25.325,1.478
1814-09-01,24.583,1.304
1814-10-01,22.5,3.1
1814-11-01,21.007,4.345
1814-12-01,18.571,4.781
1815-01-01,15.915,2.2
1815-02-01,19.157,4.467
1815-03-01,22.208,2.973
1815-04-01,27.332,2.754
1815-05-01,29.24,3.093
1815-06-01,26.523,1.578
1815-07-01,26.316,2.536
1815-08-01,25.577,1.608
1815-09-01,25.154,1.309
1815-10-01,22.034,2.609
1815-11-01,18.865,1.966
1815-12-01,15.372,1.904
1816-01-01,16.376,4.049
1816-02-01,16.251,1.912
1816-03-01,22.414,1.484
1816-04-01,26.301,3.495
1816-05-01,29.514,2.011
1816-06-01,28.163,2.218
1816-07-01,25.06,1.475
1816-08-01,24.848,1.015
1816-09-01,23.977,0.993
1816-10-01,21.404,5.186
1816-11-01,18.967,6.089
1816-12-01,15.813,1.524
1817-01-01,15.916,4.174
1817-02-01,18.828,2.39
1817-03-01,22.551,1.555
1817-04-01,27.052,1.745
1817-05-01,28.28,1.945
1817-06-01,27.135,1.569
1817-07-01,25.614,1.664
1817-08-01,25.669,1.561
1817-09-01,23.313,2.474
1817-10-01,21.903,2.403
1817-11-01,19.313,2.148
1817-12-01,15.572,2.697
1818-01-01,16.076,3.074
1818-02-01,18.023,1.706
1818-03-01,23.085,1.558
1818-04-01,27.783,4.937
1818-05-01,29.952,2.935
1818-06-01,28.889,3.725
1818-07-01,25.302,2.884
1818-08-01,24.729,1.627
1818-09-01,24.058,1.452
1818-10-01,22.026,1.972
1818-11-01,19.335,4.398
1818-12-01,16.178,1.43
1819-01-01,14.385,2.081
1819-02-01,17.616,2.845
1819-03-01,22.021,5.902
1819-04-01,26.019,1.348
1819-05-01,28.662,1.219
1819-06-01,28.244,1.482
1819-07-01,25.901,1.101
1819-08-01,25.169,1.397
1819-09-01,24.613,0.979
1819-10-01,23.262,1.609
1819-11-01,19.983,1.474
1819-12-01,15.968,1.24
1820-01-01,14.902,4.208
1820-02-01,17.539,1.719
1820-03-01,22.622,1.686
1820-04-01,27.626,1.238
1820-05-01,29.083,1.364
1820-06-01,28.243,1.132
1820-07-01,25.972,2.486
1820-08-01,24.849,2.171
1820-09-01,24.896,1.711
1820-10-01,22.787,1.225
1820-11-01,19.562,1.243
1820-12-01,16.008,1.888
1821-01-01,17.268,2.727
1821-02-01,19.933,3.531
1821-03-01,23.809,1.599
1821-04-01,26.623,1.283
1821-05-01,29.613,1.576
1821-06-01,28.564,2.45
1821-07-01,26.174,1.744
1821-08-01,25.669,1.526
1821-09-01,24.188,1.295
1821-10-01,23.045,0.998
1821-11-01,20.411,2.299
1821-12-01,17.034,1.368
1822-01-01,17.522,2.84
1822-02-01,20.712,2.133
1822-03-01,25.528,1.562
1822-04-01,27.135,1.175
1822-05-01,29.57,1.272
1822-06-01,28.46,1.326
1822-07-01,26.667,1.089
1822-08-01,25.142,2.181
1822-09-01,24.52,1.653
1822-10-01,22.519,1.068
1822-11-01,19.336,1.57
1822-12-01,16.058,2.129
1823-01-01,16.882,1.567
1823-02-01,19.361,2.494
1823-03-01,23.47,1.495
1823-04-01,27.77,2.356
1823-05-01,29.427,1.344
1823-06-01,29.279,1.998
1823-07-01,26.703,1.282
1823-08-01,25.162,1.381
1823-09-01,23.894,1.247
1823-10-01,23.159,1.553
1823-11-01,19.397,2.925
1823-12-01,17.149,1.735
1824-01-01,17.323,1.277
1824-02-01,19.326,2.336
1824-03-01,23.737,1.458
