dt,AverageTemperature,AverageTemperatureUncertainty
1824-04-01,27.524,1.986
1824-05-01,29.551,1.485
1824-06-01,29.33,2.513
1824-07-01,28.039,2.991
1824-08-01,25.948,1.63
1824-09-01,25.79,1.601
1824-10-01,22.748,1.503
1824-11-01,20.546,1.571
1824-12-01,18.735,2.509
1825-01-01,17.412,2.315
1825-02-01,19.554,1.504
1825-03-01,23.61,1.934
1825-04-01,27.947,2.152
1825-05-01,29.516,1.295
1825-06-01,29.196,1.137
1825-07-01,26.856,2.081
1825-08-01,25.331,1.948
1825-09-01,24.905,1.579
1825-10-01,23.159,1.633
1825-11-01,21.021,1.626
1825-12-01,17.046,1.267
1826-01-01,17.047,1.304
1826-02-01,18.351,1.895
1826-03-01,23.743,1.47
1826-04-01,27.814,2.342
1826-05-01,30.463,1.398
1826-06-01,28.352,2.172
1826-07-01,27.152,1.275
1826-08-01,25.162,1.316
1826-09-01,24.969,1.881
1826-10-01,23.612,2.043
1826-11-01,21.067,1.149
1826-12-01,18.576,2.242
1827-01-01,17.876,2.532
1827-02-01,19.791,1.399
1827-03-01,24.153,1.916
1827-04-01,28.18,2.802
1827-05-01,29.563,2.334
1827-06-01,28.975,1.961
1827-07-01,27.285,1.356
1827-08-01,25.736,1.355
1827-09-01,24.674,1.172
1827-10-01,23.26,1.217
1827-11-01,21.007,1.185
1827-12-01,16.977,3.036
1828-01-01,16.118,2.725
1828-02-01,18.766,2.119
1828-03-01,23.678,1.991
1828-04-01,27.24,1.932
1828-05-01,29.547,2.206
1828-06-01,29.688,2.029
1828-07-01,27.167,1.411
1828-08-01,25.722,1.653
1828-09-01,23.899,1.162
1828-10-01,23.406,1.445
1828-11-01,20.851,1.465
1828-12-01,17.402,2.151
1829-01-01,16.815,1.529
1829-02-01,18.199,2.453
1829-03-01,23.331,1.424
1829-04-01,27.007,1.309
1829-05-01,29.775,2.861
1829-06-01,28.769,1.994
1829-07-01,26.73,1.509
1829-08-01,25.577,1.45
1829-09-01,24.601,1.499
1829-10-01,23.758,1.759
1829-11-01,19.862,2.411
1829-12-01,16.898,3.599
1830-01-01,17.047,2.38
1830-02-01,19.756,1.684
1830-03-01,23.056,1.384
1830-04-01,27.494,1.49
1830-05-01,27.903,1.915
1830-06-01,28.626,2.28
1830-07-01,27.355,1.724
1830-08-01,25.439,1.741
1830-09-01,24.538,1.864
1830-10-01,23.198,2.462
1830-11-01,21.574,1.872
1830-12-01,18.082,1.93
1831-01-01,16.565,2.079
1831-02-01,19.147,3.771
1831-03-01,23.557,2.902
1831-04-01,26.69,1.187
1831-05-01,29.921,2.44
1831-06-01,29.209,2.037
1831-07-01,26.245,1.489
1831-08-01,24.907,1.479
1831-09-01,24.056,1.387
1831-10-01,22.794,1.465
1831-11-01,19.301,3.983
1831-12-01,16.508,3.141
1832-01-01,16.078,1.742
1832-02-01,18.202,2.006
1832-03-01,23.534,1.741
1832-04-01,27.598,2.881
1832-05-01,29.973,2.338
1832-06-01,,
1832-07-01,27.105,2.123
1832-08-01,25.394,2.276
1832-09-01,24.211,1.896
1832-10-01,23.036,2.079
1832-11-01,19.455,1.184
1832-12-01,,
1833-01-01,16.995,2.545
1833-02-01,19.381,1.451
1833-03-01,23.141,2.343
1833-04-01,26.902,1.459
1833-05-01,28.941,1.521
1833-06-01,29.161,1.851
1833-07-01,26.9,1.425
1833-08-01,25.213,1.51
1833-09-01,24.817,1.339
1833-10-01,22.958,1.412
1833-11-01,20.702,1.566
1833-12-01,17.468,2.363
1834-01-01,15.609,1.725
1834-02-01,19.172,2.084
1834-03-01,23.655,2.106
1834-04-01,26.768,2.006
1834-05-01,30.234,1.429
1834-06-01,28.376,2.203
1834-07-01,26.552,1.407
1834-08-01,25.474,1.177
1834-09-01,25.195,1.988
1834-10-01,23.129,1.001
1834-11-01,20.486,1.759
1834-12-01,17.704,1.268
1835-01-01,16.966,2.011
1835-02-01,19.085,1.98
1835-03-01,22.397,1.135
1835-04-01,26.15,1.941
1835-05-01,28.282,1.2
1835-06-01,27.61,1.609
1835-07-01,25.674,1.487
1835-08-01,24.582,1.333
1835-09-01,24.038,1.401
1835-10-01,22.62,1.061
1835-11-01,18.8,1.398
1835-12-01,15.693,1.475
1836-01-01,16.279,0.967
1836-02-01,18.658,1.441
1836-03-01,22.974,1.364
1836-04-01,26.581,1.242
1836-05-01,29.178,1.681
1836-06-01,28.739,1.215
1836-07-01,26.399,1.314
1836-08-01,25.049,1.688
1836-09-01,25.011,1.997
1836-10-01,23.705,3.851
1836-11-01,19.315,1.797
1836-12-01,17.222,2.086
1837-01-01,16.974,1.75
1837-02-01,19.469,1.399
1837-03-01,22.557,1.904
1837-04-01,25.811,1.412
1837-05-01,28.233,1.522
1837-06-01,28.064,1.655
1837-07-01,26.407,1.122
1837-08-01,25.428,0.939
1837-09-01,25.252,1.441
1837-10-01,23.036,2.075
1837-11-01,19.7,2.113
1837-12-01,17.264,3.275
1838-01-01,14.552,2.209
1838-02-01,18.164,1.283
1838-03-01,22.433,1.39
1838-04-01,27.11,1.428
1838-05-01,28.662,1.124
1838-06-01,28.632,1.447
1838-07-01,27.264,2.69
1838-08-01,25.756,2.44
1838-09-01,25.333,1.319
1838-10-01,23.542,2.895
1838-11-01,19.936,2.211
1838-12-01,16.931,1.958
1839-01-01,17.08,1.502
1839-02-01,19.788,1.624
1839-03-01,21.856,1.68
1839-04-01,27.024,1.343
1839-05-01,28.879,1.07
1839-06-01,28.301,1.165
1839-07-01,26.879,2.26
1839-08-01,25.681,1.644
1839-09-01,24.73,1.273
1839-10-01,23.599,1.702
1839-11-01,18.948,1.641
1839-12-01,16.172,2.012
1840-01-01,17.353,1.914
1840-02-01,19.266,2.051
1840-03-01,22.937,1.691
1840-04-01,27.185,1.651
1840-05-01,29.242,1.71
1840-06-01,28.615,1.713
1840-07-01,27.185,0.99
1840-08-01,25.486,1.201
1840-09-01,24.75,1.025
1840-10-01,23.075,1.54
1840-11-01,19.404,3.221
1840-12-01,16.844,1.19
1841-01-01,16.706,2.494
1841-02-01,19.124,1.138
1841-03-01,22.343,2.852
1841-04-01,26.193,1.596
1841-05-01,28.79,1.348
1841-06-01,28.487,1.209
1841-07-01,27.141,1.226
1841-08-01,25.486,1.628
1841-09-01,25.078,0.978
1841-10-01,22.989,1.365
1841-11-01,19.971,1.338
1841-12-01,16.821,1.745
1842-01-01,16.59,1.433
1842-02-01,19.183,1.713
1842-03-01,23.559,2.282
1842-04-01,27.206,1.459
1842-05-01,29.148,0.926
1842-06-01,28.21,1.08
1842-07-01,26.667,1.407
1842-08-01,25.333,1.181
1842-09-01,24.59,1.303
1842-10-01,23.055,1.293
1842-11-01,19.829,1.357
1842-12-01,17.601,1.077
1843-01-01,17.105,1.641
1843-02-01,19.783,1.541
1843-03-01,22.84,1.582
1843-04-01,26.628,1.305
1843-05-01,28.404,1.275
1843-06-01,28.228,0.965
1843-07-01,26.735,0.963
1843-08-01,25.625,1.246
1843-09-01,25.035,0.878
1843-10-01,23.177,1.147
1843-11-01,19.531,0.813
1843-12-01,16.657,2.745
1844-01-01,16.37,1.056
1844-02-01,17.971,1.624
1844-03-01,23.072,1.822
1844-04-01,26.745,1.123
1844-05-01,28.368,1.144
1844-06-01,28.341,0.843
1844-07-01,26.32,1.029
1844-08-01,25.485,2.326
1844-09-01,24.646,0.894
1844-10-01,23.156,1.013
1844-11-01,19.836,0.994
1844-12-01,16.819,1.484
1845-01-01,16.9,1.44
1845-02-01,18.51,2.085
1845-03-01,23.43,1.085
1845-04-01,26.783,1.599
1845-05-01,29.158,0.941
1845-06-01,28.252,1.067
1845-07-01,26.902,0.941
1845-08-01,25.795,0.931
1845-09-01,25.258,1.019
1845-10-01,23.05,0.994
1845-11-01,19.824,0.961
1845-12-01,16.256,1.749
1846-01-01,17.963,1.621
1846-02-01,19.517,1.028
1846-03-01,24.426,1.68
1846-04-01,26.804,1.485
1846-05-01,29.276,1.266
1846-06-01,28.723,1.979
1846-07-01,27.418,1.776
1846-08-01,26.14,1.384
1846-09-01,25.14,1.7
1846-10-01,22.828,1.218
1846-11-01,20.151,1.506
1846-12-01,17.244,1.348
1847-01-01,17.203,2.948
1847-02-01,19.184,1.797
1847-03-01,22.714,1.155
1847-04-01,27.143,1.142
1847-05-01,28.803,1.107
1847-06-01,28.256,1.32
1847-07-01,26.877,1.378
1847-08-01,25.736,1.086
1847-09-01,25.202,1.114
1847-10-01,23.179,1.108
1847-11-01,19.965,1.343
1847-12-01,15.558,1.132
1848-01-01,15.931,1.7
1848-02-01,19.245,1.429
1848-03-01,22.931,0.808
1848-04-01,26.672,1.183
1848-05-01,28.837,1.305
1848-06-01,27.942,1.836
1848-07-01,26.885,1.544
1848-08-01,25.693,1.262
1848-09-01,25.08,1.285
1848-10-01,23.107,1.24
1848-11-01,19.552,0.867
1848-12-01,16.856,1.182
1849-01-01,16.002,0.947
1849-02-01,18.572,1.995
1849-03-01,23.277,2.014
1849-04-01,26.931,1.744
1849-05-01,28.961,0.864
1849-06-01,27.975,1.554
1849-07-01,26.631,1.065
1849-08-01,25.641,1.174
1849-09-01,25.006,1.294
1849-10-01,23.396,1.518
1849-11-01,20.333,1.185
1849-12-01,15.966,1.385
1850-01-01,15.898,1.358
1850-02-01,18.741,1.758
1850-03-01,22.975,2.893
1850-04-01,26.744,1.297
1850-05-01,28.587,0.867
1850-06-01,28.79,0.902
1850-07-01,27.063,0.888
1850-08-01,26.111,1.1
1850-09-01,25.492,0.792
1850-10-01,24.488,2.35
1850-11-01,20.602,3.049
1850-12-01,16.564,1.073
1851-01-01,16.091,1.211
1851-02-01,18.646,1.266
1851-03-01,22.994,1.343
1851-04-01,26.714,1.263
1851-05-01,29.508,1.035
1851-06-01,28.498,1.188
1851-07-01,26.798,1.41
1851-08-01,26.045,1.135
1851-09-01,25.681,1.038
1851-10-01,24.015,1.537
1851-11-01,19.906,1.144
1851-12-01,16.926,2.26
1852-01-01,16.816,1.927
1852-02-01,19.474,1.598
1852-03-01,22.372,1.307
1852-04-01,26.567,1.643
1852-05-01,29.053,1.48
1852-06-01,28.549,0.916
1852-07-01,26.79,1.313
1852-08-01,25.687,1.091
1852-09-01,25.395,0.931
1852-10-01,23.374,1.275
1852-11-01,19.466,1.16
1852-12-01,16.997,1.922
1853-01-01,15.862,1.72
1853-02-01,18.969,2.382
1853-03-01,23.503,1.18
1853-04-01,26.995,1.385
1853-05-01,29.598,0.782
1853-06-01,29.362,0.805
1853-07-01,27.497,0.862
1853-08-01,26.145,0.926
1853-09-01,25.714,0.856
1853-10-01,23.549,0.847
1853-11-01,19.694,1.217
1853-12-01,17.097,0.805
1854-01-01,16.844,1.46
1854-02-01,18.469,1.314
1854-03-01,23.49,0.794
1854-04-01,26.871,1.636
1854-05-01,29.674,1.099
1854-06-01,28.847,1.257
1854-07-01,27.28,1.2
1854-08-01,26.168,1.268
1854-09-01,25.409,1.04
1854-10-01,24.276,1.319
1854-11-01,20.507,1.132
1854-12-01,17.274,1.761
1855-01-01,17.122,1.595
1855-02-01,19.491,1.338
1855-03-01,23.327,1.22
1855-04-01,27.919,1.514
1855-05-01,30.131,1.268
1855-06-01,28.851,1.193
1855-07-01,27.083,1.228
1855-08-01,26.162,1.178
1855-09-01,25.429,1.087
1855-10-01,23.376,1.257
1855-11-01,19.943,1.094
1855-12-01,16.271,1.755
1856-01-01,16.928,1.195
1856-02-01,19.006,1.633
1856-03-01,23.084,1.394
1856-04-01,26.949,1.088
1856-05-01,29.095,1.462
1856-06-01,28.716,1.399
1856-07-01,26.478,1.176
1856-08-01,24.847,1.742
1856-09-01,24.87,1.336
1856-10-01,22.99,1.082
1856-11-01,19.765,1.081
1856-12-01,16.776,1.324
1857-01-01,16.039,1.239
1857-02-01,18.305,1.622
1857-03-01,22.687,1.102
1857-04-01,26.196,1.136
1857-05-01,28.663,1.069
1857-06-01,27.666,1.375
1857-07-01,26.262,1.314
1857-08-01,25.531,1.104
1857-09-01,25.11,1.023
1857-10-01,22.736,1.533
1857-11-01,19.622,1.459
1857-12-01,16.757,1.388
1858-01-01,17.017,1.717
1858-02-01,18.986,1.148
1858-03-01,23.347,1.269
1858-04-01,27.872,1.387
1858-05-01,29.408,1.388
1858-06-01,28.51,1.23
1858-07-01,26.404,1.252
1858-08-01,25.707,1.165
1858-09-01,25.259,1.118
1858-10-01,23.707,1.25
1858-11-01,20.666,1.283
1858-12-01,16.318,1.293
1859-01-01,16.65,1.178
1859-02-01,19.179,1.214
1859-03-01,23.664,1.283
1859-04-01,27.814,1.383
1859-05-01,29.891,1.201
1859-06-01,28.818,1.24
1859-07-01,26.559,1.156
1859-08-01,25.559,1.1
1859-09-01,25.1,1.083
1859-10-01,23.766,1.199
1859-11-01,20.244,1.419
1859-12-01,16.809,1.478
1860-01-01,16.324,1.177
1860-02-01,18.812,1.228
1860-03-01,22.138,1.504
1860-04-01,27.185,1.209
1860-05-01,29.518,1.136
1860-06-01,28.86,1.126
1860-07-01,26.882,1.106
1860-08-01,26.149,1.21
1860-09-01,25.839,1.181
1860-10-01,23.672,1.133
1860-11-01,19.835,1.127
1860-12-01,15.548,1.154
1861-01-01,15.27,1.363
1861-02-01,18.336,1.177
1861-03-01,23.034,1.185
1861-04-01,26.995,1.252
1861-05-01,29.198,1.201
1861-06-01,28.588,1.494
1861-07-01,26.642,1.346
1861-08-01,25.819,1.168
1861-09-01,25.318,1.081
1861-10-01,23.41,1.087
1861-11-01,20.327,1.406
1861-12-01,16.655,1.513
1862-01-01,15.332,1.307
1862-02-01,17.901,1.325
1862-03-01,22.746,1.196
1862-04-01,,
1862-05-01,,
1862-06-01,,
1862-07-01,,
1862-08-01,,
1862-09-01,,
1862-10-01,,
1862-11-01,,
1862-12-01,,
1863-01-01,,
1863-02-01,,
1863-03-01,,
1863-04-01,,
1863-05-01,,
1863-06-01,,
1863-07-01,,
1863-08-01,,
1863-09-01,,
1863-10-01,,
1863-11-01,,
1863-12-01,,
1864-01-01,,
1864-02-01,,
1864-03-01,,
1864-04-01,,
1864-05-01,,
1864-06-01,,
1864-07-01,,
1864-08-01,,
1864-09-01,,
1864-10-01,,
1864-11-01,,
1864-12-01,,
1865-01-01,17.287,1.127
1865-02-01,19.031,1.933
1865-03-01,22.661,1.203
1865-04-01,26.937,1.312
1865-05-01,29.503,1.471
1865-06-01,29.257,1.128
1865-07-01,26.924,1.117
1865-08-01,26.052,1.134
1865-09-01,26.048,1.084
1865-10-01,24.073,1.124
1865-11-01,20.838,1.223
1865-12-01,16.863,1.322
1866-01-01,17.224,1.284
1866-02-01,18.834,1.346
1866-03-01,23.022,1.183
1866-04-01,27.506,1.322
1866-05-01,29.919,1.337
1866-06-01,28.815,1.159
1866-07-01,27.153,1.261
1866-08-01,25.955,1.181
1866-09-01,25.745,1.233
1866-10-01,23.598,1.108
1866-11-01,20.313,1.148
1866-12-01,17.792,1.244
1867-01-01,17.011,1.29
1867-02-01,18.965,1.116
1867-03-01,23.342,1.201
1867-04-01,27.576,1.219
1867-05-01,29.356,1.143
1867-06-01,29.002,1.136
1867-07-01,26.886,1.148
1867-08-01,26.011,1.214
1867-09-01,25.693,1.117
1867-10-01,24.019,1.055
1867-11-01,21.194,1.46
1867-12-01,17.723,1.329
1868-01-01,16.346,1.223
1868-02-01,18.506,1.497
1868-03-01,22.925,1.246
1868-04-01,27.525,1.424
1868-05-01,29.913,1.292
1868-06-01,28.847,1.091
1868-07-01,26.882,1.076
1868-08-01,26.182,1.147
1868-09-01,25.785,1.147
1868-10-01,24.29,1.115
1868-11-01,20.111,1.303
1868-12-01,16.897,1.211
1869-01-01,16.581,1.43
1869-02-01,19.805,1.351
1869-03-01,23.022,1.313
1869-04-01,27.641,1.392
1869-05-01,29.692,1.395
1869-06-01,28.947,1.153
1869-07-01,26.995,1.142
1869-08-01,25.904,1.266
1869-09-01,25.937,1.133
1869-10-01,23.832,1.158
1869-11-01,20.112,1.091
1869-12-01,16.332,1.344
1870-01-01,16.51,1.077
1870-02-01,18.711,1.411
1870-03-01,23.23,0.962
1870-04-01,27.566,1.237
1870-05-01,30.15,1.077
1870-06-01,28.782,1.178
1870-07-01,26.588,1.01
1870-08-01,25.423,0.904
1870-09-01,25.516,0.925
1870-10-01,23.732,1.158
1870-11-01,20.086,1.423
1870-12-01,16.128,1.025
1871-01-01,16.165,1.294
1871-02-01,18.913,1.758
1871-03-01,23.25,1.467
1871-04-01,27.582,1.007
1871-05-01,29.435,1.18
1871-06-01,28.981,1.288
1871-07-01,26.534,0.921
1871-08-01,26.032,0.85
1871-09-01,25.841,0.999
1871-10-01,24.036,0.906
1871-11-01,19.83,1.028
1871-12-01,16.783,1.032
1872-01-01,16.469,1.642
1872-02-01,18.654,1.232
1872-03-01,23.876,1.174
1872-04-01,27.342,1.356
1872-05-01,29.562,0.993
1872-06-01,28.741,1.037
1872-07-01,26.615,0.965
1872-08-01,25.727,1.319
1872-09-01,25.574,0.87
1872-10-01,24.024,0.886
1872-11-01,20.055,0.964
1872-12-01,16.883,1.591
1873-01-01,16.271,1.134
1873-02-01,19.325,1.167
1873-03-01,23.128,1.082
1873-04-01,27.228,1.177
1873-05-01,29.873,1.16
1873-06-01,28.762,1.012
1873-07-01,26.851,1.185
1873-08-01,25.988,0.9
1873-09-01,25.632,1.14
1873-10-01,24.008,1.01
1873-11-01,20.145,0.885
1873-12-01,17.211,1.033
1874-01-01,16.268,1.287
1874-02-01,19.066,1.1
1874-03-01,22.575,1.231
1874-04-01,27.611,0.963
1874-05-01,29.463,1.12
1874-06-01,28.725,1.193
1874-07-01,26.666,0.94
1874-08-01,26.026,0.939
1874-09-01,25.55,0.977
1874-10-01,24.408,1.122
1874-11-01,20.685,1.059
1874-12-01,16.668,1.352
1875-01-01,16.312,0.702
1875-02-01,18.697,0.827
1875-03-01,24.889,0.704
1875-04-01,28.22,0.52
1875-05-01,29.57,0.546
1875-06-01,28.92,0.88
1875-07-01,26.566,0.784
1875-08-01,25.757,0.388
1875-09-01,25.608,0.462
1875-10-01,23.003,0.651
1875-11-01,20.031,0.435
1875-12-01,17.493,0.306
1876-01-01,16.989,0.935
1876-02-01,19.176,0.728
1876-03-01,23.687,1.473
1876-04-01,27.541,0.881
1876-05-01,30.01,1.038
1876-06-01,29.635,0.631
1876-07-01,26.58,0.731
1876-08-01,25.937,0.609
1876-09-01,25.334,0.766
1876-10-01,23.16,0.731
1876-11-01,19.915,1.049
