Date,SumofAnnualCOemissions
1/1/1900,5108103312
1/1/1901,5239882736
1/1/1902,5351425888
1/1/1903,5785419360
1/1/1904,5861179888
1/1/1905,6207230032
1/1/1906,6496920528
1/1/1907,7317678512
1/1/1908,7131657232
1/1/1909,7345491936
1/1/1910,7666381392
1/1/1911,7830667824
1/1/1912,8182888144
1/1/1913,8861248432
1/1/1914,8027175472
1/1/1915,7855300896
1/1/1916,8436935248
1/1/1917,8758473232
1/1/1918,8591904128
1/1/1919,7463978368
1/1/1920,8686021296
1/1/1921,7706117472
1/1/1922,8133409488
1/1/1923,8964349728
1/1/1924,9183050224
1/1/1925,9217074128
1/1/1926,8866213152
1/1/1927,9890542976
1/1/1928,9919946576
1/1/1929,10666046896
1/1/1930,9857896736
1/1/1931,8825641680
1/1/1932,7994679456
1/1/1933,8381711440
1/1/1934,9115247904
1/1/1935,9558313440
1/1/1936,10411010512
1/1/1937,11208344544
1/1/1938,10682311392
1/1/1939,11227866336
1/1/1940,12130566016
1/1/1941,12356803360
1/1/1942,12401342944
1/1/1943,12776045568
1/1/1944,12502762464
1/1/1945,9951108896
1/1/1946,11047634176
1/1/1947,12188600112
1/1/1948,12815631424
1/1/1949,12391314576
1/1/1950,13446487952
1/1/1951,14529049728
1/1/1952,14732914688
1/1/1953,15132404272
1/1/1954,15525723680
1/1/1955,16948469536
1/1/1956,18037751088
1/1/1957,18624987696
1/1/1958,19130154368
1/1/1959,23070359449
1/1/1960,24247685903
1/1/1961,24566602211
1/1/1962,25660710482
1/1/1963,27146952806
1/1/1964,28702323349
1/1/1965,29988950027
1/1/1966,31414251316
1/1/1967,32488390506
1/1/1968,34217171616
1/1/1969,36324283109
1/1/1970,38984043970
1/1/1971,40554920232
1/1/1972,42191297491
1/1/1973,44515526157
1/1/1974,44684303015
1/1/1975,44530947172
1/1/1976,47126900548
1/1/1977,48465796970
1/1/1978,49246410173
1/1/1979,51750514681
1/1/1980,51454266527
1/1/1981,49938200947
1/1/1982,49599772154
1/1/1983,49490824442
1/1/1984,51095729287
1/1/1985,52724197443
1/1/1986,54062996750
1/1/1987,55432795657
1/1/1988,57362016946
1/1/1989,58477796058
1/1/1990,58561109474
1/1/1991,58968859462
1/1/1992,57830697576
1/1/1993,57664544081
1/1/1994,58251833450
1/1/1995,59308766781
1/1/1996,60592015972
1/1/1997,61346687788
1/1/1998,61455460572
1/1/1999,61501461784
1/1/2000,63142083491
1/1/2001,64545198190
1/1/2002,65385061707
1/1/2003,68598883674
1/1/2004,71609395740
1/1/2005,73924911898
1/1/2006,76316780616
1/1/2007,77697425502
1/1/2008,79909479940
1/1/2009,78673014908
1/1/2010,82381091860
1/1/2011,85243609938
1/1/2012,86650795328
1/1/2013,87007446550
1/1/2014,87620961326
1/1/2015,87686547898
1/1/2016,88249617532
1/1/2017,89472750830
